,text,labels
0,"'moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special interest groups as he slaps together his own brand of liberalism '",1
1,"idiotic and ugly",1
2,"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm",1
3,"the movie is amateurish , but it 's a minor treat",1
4,"some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options",1
5,"the movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength",1
6,"apesar de seus graves problemas , o filme consegue entreter",1
7,"superb production values christian bale 's charisma make up for a derivative plot",1
8,"kiarostami has crafted a deceptively casual ode to children and managed to convey a tiny sense of hope",1
9,"an engrossing story that combines psychological drama , sociological reflection , and high octane thriller",1
10,"like its predecessor , it 's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid friendly outing should investigate",1
11,"ranks among willams' best screen work",1
12,"it 's a drawling , slobbering , lovable run on sentence of a film , a southern gothic with the emotional arc of its raw blues soundtrack",1
13,"even if you do n't understand what on earth is going on , this is a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why",1
14,"the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins",1
15,"this new zealand coming of age movie is n't really about anything when it 's this rich and luscious , who cares \?",1
16,"the all french cast is marveilleux",1
17,"it 's ricci 's best work yet , this girl woman who sincerely believes she can thwart the world 's misery with blind good will",1
18,"harmless fun",1
19,"the fast runner' transports the viewer into an unusual space",1
20,"it may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality",1
21,"a very funny movie",1
22,"imagine a scenario where bergman approaches swedish fatalism using gary larson 's far side humor",1
23,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story however , it lacks grandeur and that epic quality often associated with stevenson 's tale as well as with earlier disney efforts",1
24,"a lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers",1
