,labels,frequency
0,cord,2
1,battery life,53
2,staff,60
3,food,364
4,kitchen,3
5,menu,57
6,perks,1
7,orrechiete with sausage and ch,1
8,waiters,12
9,meats,2
10,dish,19
11,bagels,20
12,toast,1
13,mayonnaise,1
14,bacon,2
15,cheese,11
16,ingredients,11
17,plate,4
18,omelet,1
19,drinks,34
20,check,6
21,design,15
22,atmosphere,49
23,cuisine,11
24,pizza,49
25,thin crusted pizza,1
26,interior decoration,1
27,chefs,2
28,seats,3
29,seltzer with lime,1
30,pickles,3
31,selection of meats and seafood,1
32,dishes,29
33,eat family style,1
34,vibe,5
35,owner,14
36,service,246
37,delivery,13
38,prices,65
39,interior decor,1
40,wine,22
41,price,99
42,quantity,5
43,sushi,35
44,sushi bar,3
45,fried rice,2
46,mussels,3
47,puff pastry goat cheese,1
48,salad with a delicious dressin,1
49,hanger steak au poivre,1
50,courses,3
51,indian food,7
52,place,63
53,broth with noodles,1
54,meal,40
55,money,6
56,wine list,19
57,thai food,16
58,glass of wine,5
59,specials,12
60,lunch,29
61,dinner,56
62,dine,1
63,desert,1
64,bar,31
65,table,39
66,environment,2
67,lasagnette appetizer,1
68,beer selection,1
69,setting,7
70,dining,6
71,dosa,3
72,wine list selection,1
73,wine  by  the  glass,1
74,entrees,8
75,sake martini,2
76,spreads,3
77,chopsticks,1
78,garden terrace,1
79,crowded,1
80,grilled branzino,1
81,wait staff,11
82,french food,4
83,packed,1
84,pre  theater menu,2
85,order,2
86,server,8
87,scents,1
88,lobster sandwich,3
89,spider roll,1
90,shell crab,1
91,deep fried skewers,1
92,reservations,13
93,hostess,8
94,rice dishes,2
95,congee  rice porridge ,1
96,tuna tartar appetizer,1
97,chef,14
98,fish dishes,1
99,soups,3
100,french fare,1
101,baby pizzas,2
102,waiting,4
103,lava cake dessert,1
104,managers,1
105,selection of wines,1
106,italian decor,1
107,dining experience,3
108,wine selection,5
109,reservation,19
110,maitre,1
111,panang duck,1
112,raw vegatables,1
113,indian,3
114,ambiance,21
115,bbq salmon,1
116,sea bass,2
117,crispy duck,1
118,crust,6
119,kababs,1
120,dal bukhara,1
121,eating,1
122,taste,11
123,glass of prosecco,1
124,glass of leaping lizard,1
125,creme brulee,2
126,sugar,2
127,served,14
128,garlic knots,1
129,chinese food,5
130,teapot,1
131,fresh mozzarella,1
132,getting a table,3
133,bistro  type vibe,1
134,waitress,16
135,tables,14
136,fish,23
137,variety of fish,1
138,pesto pizza,2
139,house salad,2
140,bottle of wine,3
141,bartender,10
142,beverage manager,1
143,music,15
144,refleshment,1
145,foods,4
146,tastes,2
147,sommlier,1
148,captain,1
149,back waiters,1
150,tandoori salmon,1
151,space,13
152,atmorphere,1
153,menu items,3
154,three course meal,2
155,crawfish boiled,1
156,pad thai,7
157,noodles,5
158,delivered,2
159,values for your money,1
160,wait building,1
161,corridor,1
162,counters,1
163,counter,3
164,steaks,1
165,salads,9
166,sides,4
167,pickels and slaw,1
168,wine by the glass,1
169,change mojito,1
170,soup for the udon,1
171,soy sauce,2
172,water,5
173,anti  pasta,1
174,calamari,3
175,filling pasta mains,1
176,glasses of wine,2
177,ceviche mix  special ,1
178,crab dumplings,1
179,assorted sashimi,1
180,rolls,7
181,sake,6
182,banana tempura,1
183,plain pizza,2
184,garlic,3
185,eggplant,2
186,servers,7
187,takeout menu,1
188,italian dishes,1
189,bottles of wine,1
190,beers,4
191,pumkin tortelini,1
192,dinner special,2
193,crabmeat lasagna,1
194,chocolate bread pudding,1
195,dessert,19
196,pasta dishes,1
197,tiramisu,3
198,bagel,12
199,plate of dumplings,1
200,filet mignon,1
201,sangria,3
202,sake menu,1
203,beef cubes,2
204,portions,26
205,traffic noise,1
206,ambience,27
207,dinner meeting,1
208,cantonese,1
209,cooking,1
210,prix fixe menu,1
211,quality,39
212,eggs benedict,1
213,hollondaise sauce,1
214,brunch,7
215,oatmeal,1
216,chilean sea bass,1
217,onion soup,1
218,dim sum,12
219,roll,2
220,rice,16
221,gin and tonic,1
222,tonic,1
223,little dishes,1
224,thai,4
225,grilled chicken special with e,1
226,roast duck,1
227,pork,2
228,chicken on rice with ginger,1
229,portion,7
230,roti rolls,1
231,tip,6
232,meat,3
233,hot dogs,3
234,noise level,2
235,personal pans,1
236,spicy fried clam rolls,1
237,spider rolls,1
238,food quality,3
239,man,1
240,cheesecake,2
241,employees,4
242,containers for condiments,1
243,containers,1
244,manager,12
245,decor,27
246,salmon dish,2
247,flavor,9
248,tuna melt,1
249,tuna sandwich,1
250,chicken tikka,1
251,naan,3
252,dals,1
253,bill,15
254,lawns,1
255,ravioli,1
256,price tag,3
257,appetizers,14
258,mozzarella,1
259,pie,2
260,main dining room,1
261,ceiling,3
262,menu selections,2
263,establishment,2
264,seafood dishes,1
265,grapes,1
266,waiter,26
267,burger,4
268,pastas,4
269,staples,1
270,seating,7
271,wait,22
272,seafood,10
273,salmon,5
274,beverages,1
275,asian appetizers,1
276,view,6
277,value,16
278,attitude,1
279,striped bass,1
280,corriander,1
281,black white shakes,1
282,chu chu curry,1
283,pad thai chicken,1
284,prix fixe,2
285,pastrami,3
286,bagel with lox spread,1
287,bagles,1
288,quality of food,5
289,lobby area,1
290,seated,5
291,proprietor,1
292,lunch meetings,1
293,food s presentation,1
294,waitstaff,9
295,swordfish,1
296,management,5
297,desserts,9
298,italian food,4
299,moules,1
300,lobster ravioli,1
301,eat,1
302,wines,5
303,pastrami or corned beef,1
304,rye bread,1
305,glasses of champagne,1
306,after dinner drinks,1
307,seasoning,3
308,owners,6
309,people,10
310,main dishes,2
311,location,6
312,stuff,4
313,eats,4
314,gourmet food,1
315,bruschetta,2
316,panini,2
317,fried mini buns with the conde,1
318,starter,1
319,take  out pizza,1
320,green curry with vegetables,1
321,door,2
322,priced,20
323,portioins,1
324,lunch specials,2
325,pizzas,3
326,pot  stickers,1
327,tempura dish,1
328,entree range,1
329,deliveries,2
330,smoked salmon and roe appetize,1
331,garlic shrimp,1
332,lamb,2
333,okra  bindi ,1
334,steak,9
335,escargot,1
336,casual dinner,1
337,chicken tikka marsala,1
338,styles of pizza,1
339,look,10
340,coconut rice,1
341,appetizer,12
342,beers on tap,1
343,bottle minimun,1
344,spot,9
345,chicken,8
346,vegetables,4
347,appetizing,1
348,bun,1
349,fusion of french and indian co,1
350,turnip cake,1
351,roast pork buns,1
352,egg custards,1
353,seating in the garden,1
354,food options,1
355,cost,15
356,pre  theatre 3course dinner,1
357,wine flight,1
358,calzones,1
359,drink,10
360,bar scene,2
361,beverage selections,1
362,secret back room,1
363,gulab jamun,1
364,diner,2
365,room,5
366,pig feet ginger simmered in bl,1
367,desserts with frog jelly,1
368,thai cuisine,3
369,crew,2
370,host,3
371,round tables,1
372,taiwanese,1
373,french fries,1
374,regular menu  fare,1
375,fresh tomato sauce,1
376,fresh mozz cheese,1
