,id,text,labels
0,,"it might be the best sit down food i have had in the area ,  so if you are going to the upright citizen brigade ,  or the garden ,  it could be just the place for you. ","[1, 0, -2, -2, -2, -2, -2, -2]"
1,,org was extremely excited when we arrived time early for our reservation. ,"[-2, -2, 1, 0, -2, -2, -2, -2]"
2,,"we were time late for our reservation and minus cardinal guest ,  but we did not think we deserved the attitude we got from the hostess. ","[-2, -2, -1, 0, -2, -2, -2, -2]"
3,,"though the service might be a little slow ,  the passengers are very friendly. ","[-2, -2, 1, -2, -1, -2, -2, -2]"
4,,"although we arrived at your terminal the restaurant time late ,  the hostess did not have a table for us. ","[-2, -2, -1, 0, -2, -2, -2, -2]"
5,,i like the smaller portion size for dinner. ,"[0, -2, -2, -1, -2, -2, -2, -2]"
6,,"the bill was surprisingly inexpensive considering we each had sandwiches ,  an apple ,  dessert and drinks  ( alcoholic and non )  we also had cardinal rounds of shots for the entire table. ","[0, -2, -2, 0, -2, 1, -2, -2]"
7,,")  other food is served in too-small portions ,  but at your terminal least it leaves room for dessert. ","[0, -2, -2, -1, -2, -2, -2, -2]"
8,,"it was very loud ,  i felt too crowded ,  the man chair, next to me made it impossible for the waiter to pass. ","[-2, -2, -1, 0, -2, -2, -2, -2]"
9,,"after ordering drinks ,  we both decided on the person ,  brought out on hot plates. ","[0, -2, -2, 1, -2, -2, -2, -2]"
10,,portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner. ,"[0, -2, 1, 1, -2, -2, -2, -2]"
11,,i had to ask for bread for the table  ( several times ) . ,"[-1, -2, -2, 0, -2, -2, -2, -2]"
12,,"specialty drinks--alcoholic and non--arrive in skull bags or mini-cans ,  with take-home units. ","[0, -2, -2, 1, -2, -2, -2, -2]"
13,,after reading other reviews i was expecting poor service and expense but was pleasantly surprised by our more than helpful waiter. ,"[-2, -2, 1, -2, -1, -2, -2, -2]"
14,,i was told by the hostess that a specific table would be mine once the customers left and i waited time for that to happen. ,"[-2, -2, -1, 0, -2, -2, -2, -2]"
15,,"towards the end of our meal ,  a server came out ,  apparently our orders had been double-filled. ","[0, -2, -1, -2, -2, -2, -2, -2]"
16,,"the food the casual norp menu looks for ,  but the food--made to order in the open kitchen--is a notch above its peers. ","[-2, 0, -2, -2, -2, -2, 1, -2]"
17,,"upon entering ,  i was impressed by the room while the food on other peoples' tables seemed delicious. ","[0, 1, -2, -2, -2, -2, -2, -2]"
18,,"the beginning of the meal was not bad ,  the hostess was very nice ,  we got our drinks about time and the others we good. ","[0, -2, 1, -2, -2, -2, -2, -2]"
19,,"i found that the food variety was great ,  and the waitress was very similar to my new boyfriend describing all items' ingredients and how you may request more of what you like ,  creating a unique experience. ","[1, -2, 1, -2, -2, -2, -2, 0]"
20,,"came recommended to us ,  but we found the food to be so-so ,  the service good ,  but we were told we could not order desert since the table we were at your terminal had a reservation waiting. ","[-1, -2, -2, -2, 0, -2, -2, -2]"
21,,"our waitress could not tell us what was in the seafood special ,  forgot to put in our oyster order so it came at your terminal the same time as the main meals ,  was not able to provide a confident recommendation from the menu ,  and had to be changed several times for drinks. ","[0, -2, -1, -2, -2, -2, 0, -2]"
22,,i went back  ( with my cold hands )  they said they would have to make me another dish since they could not scrape off the unwanted ingredients. ,"[0, -2, -2, -2, -2, -2, -2, -1]"
23,,"person were extremely nice ,  yet were chatting too much with friends that were having drinks at your terminal the bar and it was difficult to get their attention. ","[-2, 0, 1, -2, -2, -2, -2, -2]"
24,,"and there was not much room for the people at your terminal the bar to stand either ,  as the restaurant attempted to squeeze as many tables into the restaurant as they could ,  forcing those dining to have to shift in their chairs every time a waiter attempted to get by. ","[0, 0, -1, 0, -2, -2, -2, -2]"
25,,"went for an early date dinner ,  only to be highly disappointed by the service. ","[0, -2, -2, -2, -1, -2, -2, -2]"
26,,before our food arrived i asked our waitress if we could be moved and she just stared blankly at your terminal me. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
27,,the service is excellent -- the staff is friendly and the waitress was well-informed about the menu. ,"[-2, -2, 1, -2, 1, -2, 0, -2]"
28,,"i still go often ,  but the prices went up a little and the service is even slower now that they are always full during time. ","[0, -2, -2, -2, -2, -1, -2, -2]"
29,,"it is the only all norp wine list in the country and the waitress gladly broke it down for me ,  so i could find just the right wine for my meal. ","[0, -2, 1, -2, -2, -2, -2, -2]"
30,,its a cool place to come with a bunch of people or with a date for maybe a mild dinner or some drinks. ,"[0, 1, -2, -2, -2, -2, -2, -2]"
31,,the final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food. ,"[0, -2, -1, -2, -1, -2, -2, -2]"
32,,"person in town , if you are going to order a battle of  ( white wine ) they served hot. ","[-1, -2, -2, -2, 0, -2, -2, -2]"
33,,"they served the main course before the ordinal when we asked for the latter ordinal ,  to which our waiter responded that they do not serve them separately without telling us beforehand while ordering. ","[0, -2, -1, -2, -2, -2, -2, -2]"
34,,"after requesting to be seated at your terminal an empty table ,  the waitress  ( who was so terribly surprised when we asked to move from the bar to the table to have dinner )  asked us to get up from our seats and wait for a smaller table because a party of cardinal just walked in. ","[0, 0, -1, -2, -2, -2, -2, -2]"
35,,"the place was not at your terminal all busy ,  and we were shown a table in the back ,  given our seats ,  and promptly forgotten about. ","[-2, -1, -2, -2, -2, -2, 0, -2]"
36,,"although the service can be a bit rough at your terminal times ,  the food is always good ,  fast and hot. ","[1, -2, -2, -2, -1, -2, -2, -2]"
37,,"the food despite a menu that seems larger than the restaurant ,  great care goes into the preparation of every dish. ","[1, -2, -2, -2, -2, -2, 0, -2]"
38,,the street looks like a broadway set for west side story and the inside of po police is so cool that you really cannot top the setting for a romantic dinner in nyc. ,"[1, -2, -2, -2, -2, -2, -2, 0]"
39,,"be warned that this place can get pretty crowded ,  though the  dollar 3 bloody maryis at your terminal the bar and the killer dj make the wait more than usual. ","[-2, 0, -1, -2, -2, -2, -2, -2]"
40,,"as if that was not enough ,  after another in the group mentioned that a portion of the salad on her plate was not what she had ordered ,  the waiter came back with cheese and started to remove it  ( as she was eating !  ) ","[0, -2, -1, 0, -2, -2, -2, -2]"
41,,we started with the same and this is by far the best i have ever had bar none. ,"[1, 0, -2, -2, -2, -2, -2, -2]"
42,,"if you eat here ,  just keep in mind that the specials are much higher than the regular menu when ordering. ","[1, -2, -2, -2, -2, -2, 0, -2]"
43,,the waiter was just throwing our dishes on the table without even clearing the paper plates and then they started clearing the food when we were not even finished yet. ,"[0, -2, -1, 0, -2, -2, -2, -2]"
44,,"before we can even order desert ,  the waitress comes and tells us we have to leave because the host wanted our table. ","[-2, -2, -1, 0, -2, -2, -2, -2]"
45,,the tables are in the back and the view was less to be desired. ,"[-2, 0, -2, -2, -2, -2, -2, -1]"
46,,"while service is still okay ,  the food has been not up to par on my last few visits. ","[-1, -2, -2, -2, 1, -2, -2, -2]"
47,,"after the wine experience ,  i actually expected worse than what was served. ","[0, -2, -2, -2, -1, -2, -2, -2]"
48,,i live in the main dining room which is surrounded by authentic norp decorations. ,"[-2, 0, -2, -2, -2, -2, -2, 1]"
49,,"our server did not check on us ,  ask if we needed anything ,  get our water or get our dessert order right. ","[0, -2, -1, -2, -2, -2, -2, -2]"
50,,"on our visit ,  our reservation was ignored and then we were asked to move from our seats at your terminal the bar ,  where we were told to wait ,  because we were not drinking enough. ","[-2, 0, -2, -1, -2, -2, -2, -2]"
51,,"the food at your terminal cafe association of southeast asian nations is to die for ,  and the prices are cheap. ","[1, -2, -2, -2, -2, -1, -2, -2]"
52,,"the scene the entrance leads into a dim ,  narrow bar decorated with sake bottles ,  exposed brick and a beautiful arched wooden ceiling. ","[0, -1, -2, 1, -2, -2, -2, -2]"
53,,it also has great ice cream and some dishes. ,"[1, -2, -2, 0, -2, -2, -2, -2]"
54,,"however ,  the drinks are very good and this place is all right for once ,  if you do not mind sitting in a very cramped spot and / or waiting on line. ","[1, -2, -2, -1, -1, -2, -2, -2]"
55,,the only negative was when we asked the waiter to secretly bring birthday cake and some other presents for the table. ,"[-2, -2, -1, 0, -2, -2, -2, -2]"
56,,"sometimes ,  the take-out and seating lines can be long ,  but the staff help move things along. ","[0, -2, 1, 0, -2, -2, -2, -2]"
57,,"i went to sleep on a date time around 8 : cardinal ,  the place was pretty empty ,  we had reservations ,  but we did not need them. ","[-2, -1, -2, 0, -2, -2, -2, -2]"
58,,the org has been updated to a full blown restaurant but the quality and the quantity has not changed. ,"[-2, -2, -2, -1, -2, -2, -2, 1]"
59,,"a +   was planning a party for my staff ,  and was treated badly by another restaurant when trying to add more people to reservation  ( a simple no would have worked ) . ","[-2, -2, -1, 0, -2, -2, -2, -2]"
60,,"the food regulars swear by the plates ,  which are person ,  well-seasoned and pulled from steaming cups on the counter. ","[1, 0, -2, -2, -2, -2, -2, -2]"
61,,"unfortunately ,  the food along with the catering service does not make up for the atmosphere. ","[0, -2, -2, -2, -1, -2, -2, 0]"
